dimension,indicador,puntuacion
enturb,a1,100
enturb,a2,100
enturb,a3,100
enturb,a4,100
enturb,a5,100
enturb,a6,75.0
enturb,a7,100
enturb,a8,66.66666666666666
enturb,a9,0
enturb,a10,33.33333333333333
enturb,a11,55.55555555555555
enturb,a12,66.66666666666666
enturb,a13,100
enturb,a14,0
enturb,a15,66.66666666666667
medamb,b1,0
medamb,b2,100
medamb,b3,83.33333333333333
medamb,b4,75.0
medamb,b5,50.0
medamb,b6,50
medamb,b7,100
biesoc,c1,0
biesoc,c2,75.0
biesoc,c3,0
biesoc,c4,69.44444444444444
biesoc,c5,0
biesoc,c6,100
biesoc,c7,87.5
biesoc,c8,50.0
biesoc,c9,0
biesoc,c10,100
biesoc,c11,100
biesoc,c12,100
biesoc,c13,0
biesoc,c14,0
biesoc,c15,100
risdes,d1,100.0
risdes,d2,100.0
risdes,d3,100.0
risdes,d4,
risdes,d5,
risdes,d6,66.66666666666667
risdes,d7,20.37037037037037
enturb,a1,0
enturb,a2,100
enturb,a3,0
enturb,a4,100
enturb,a5,100
enturb,a6,50.0
enturb,a7,100
enturb,a8,33.33333333333333
enturb,a9,0
enturb,a10,58.33333333333333
enturb,a11,44.444444444444436
enturb,a12,83.33333333333333
enturb,a13,0
enturb,a14,100
enturb,a15,58.333333333333336
medamb,b1,0
medamb,b2,100
medamb,b3,100.0
medamb,b4,0.0
medamb,b5,0.0
medamb,b6,50
medamb,b7,100
biesoc,c1,100
biesoc,c2,37.5
biesoc,c3,0
biesoc,c4,88.88888888888889
biesoc,c5,0
biesoc,c6,100
biesoc,c7,75.0
biesoc,c8,50.0
biesoc,c9,0
biesoc,c10,100
biesoc,c11,0
biesoc,c12,0
biesoc,c13,100
biesoc,c14,0
biesoc,c15,100
risdes,d1,100.0
risdes,d2,
risdes,d3,
risdes,d4,
risdes,d5,
risdes,d6,75
risdes,d7,20.37037037037037
enturb,a1,100
enturb,a2,100
enturb,a3,0
enturb,a4,100
enturb,a5,0
enturb,a6,50.0
enturb,a7,100
enturb,a8,66.66666666666666
enturb,a9,0
enturb,a10,16.666666666666664
enturb,a11,77.77777777777777
enturb,a12,49.99999999999999
enturb,a13,0
enturb,a14,100
enturb,a15,50.0
medamb,b1,100
medamb,b2,100
medamb,b3,83.33333333333333
medamb,b4,50.0
medamb,b5,25.0
medamb,b6,100
medamb,b7,100
biesoc,c1,0
biesoc,c2,50.0
biesoc,c3,0
biesoc,c4,50.0
biesoc,c5,0
biesoc,c6,100
biesoc,c7,75.0
biesoc,c8,50.0
biesoc,c9,100
biesoc,c10,100
biesoc,c11,100
biesoc,c12,100
biesoc,c13,100
biesoc,c14,100
biesoc,c15,100
risdes,d1,50.0
risdes,d2,
risdes,d3,
risdes,d4,50.0
risdes,d5,
risdes,d6,75
risdes,d7,
enturb,a1,100
enturb,a2,100
enturb,a3,0
enturb,a4,100
enturb,a5,0
enturb,a6,100
enturb,a7,100
enturb,a8,66.66666666666666
enturb,a9,0
enturb,a10,33.33333333333333
enturb,a11,44.444444444444436
enturb,a12,83.33333333333333
enturb,a13,100
enturb,a14,100
enturb,a15,50.0
medamb,b1,100
medamb,b2,100
medamb,b3,100.0
medamb,b4,100.0
medamb,b5,25.0
medamb,b6,50
medamb,b7,100
biesoc,c1,0
biesoc,c2,43.75
biesoc,c3,0
biesoc,c4,52.77777777777778
biesoc,c5,0
biesoc,c6,100
biesoc,c7,25.0
biesoc,c8,25.0
biesoc,c9,100
biesoc,c10,100
biesoc,c11,100
biesoc,c12,0
biesoc,c13,100
biesoc,c14,0
biesoc,c15,100
risdes,d1,100.0
risdes,d2,
risdes,d3,0.0
risdes,d4,
risdes,d5,
risdes,d6,58.333333333333336
