dimension,indicador,puntuacion
biesoc,c5,9.433962264150944
biesoc,c1,22.641509433962263
biesoc,c14,33.9622641509434
biesoc,c8,34.905660377358494
biesoc,c13,39.62264150943396
biesoc,c3,39.62264150943396
biesoc,c2,40.2122641509434
biesoc,c11,47.16981132075472
biesoc,c9,49.056603773584904
biesoc,c12,56.60377358490566
biesoc,c7,62.5
biesoc,c10,69.81132075471699
biesoc,c15,71.69811320754717
biesoc,c4,73.25995807127883
biesoc,c6,88.67924528301887
enturb,a9,15.09433962264151
enturb,a5,24.528301886792452
enturb,a3,30.18867924528302
enturb,a10,34.59119496855345
enturb,a6,37.264150943396224
enturb,a13,39.62264150943396
enturb,a15,53.852201257861644
enturb,a12,59.90566037735848
enturb,a8,61.635220125786155
enturb,a11,65.19916142557652
enturb,a1,67.3076923076923
enturb,a14,79.24528301886792
enturb,a2,92.45283018867924
enturb,a4,92.45283018867924
enturb,a7,100.0
medamb,b1,28.30188679245283
medamb,b5,36.320754716981135
medamb,b4,45.75471698113208
medamb,b6,61.320754716981135
medamb,b3,87.42138364779873
medamb,b2,100.0
medamb,b7,100.0
risdes,d7,21.34259259259259
risdes,d5,33.333333333333336
risdes,d6,60.8109544695071
risdes,d3,64.58333333333333
risdes,d4,69.23076923076923
risdes,d1,74.09909909909909
risdes,d2,94.44444444444444
